11:44:13 I\BaseApplication     	============================ APP STARTUP ============================
11:44:13 I\BaseApplication     	2017-12-11
11:44:13 I\BaseApplication     	心跳：20
11:44:13 I\BaseApplication     	releaseWakeLock
11:44:13 I\AccountHolder       	Release done.
11:44:13 I\AccountHolder       	updateLoginAccount: uin:-1, name:, phone:, defGid:, avatar:, context:com.veclink.global.BaseApplication@ac6f282,priority:
11:44:13 E\cyTest              	是否版本有更新：true,新版本：，老版本：0
11:44:13 I\AccountHolder       	Account changed - uin:false, gid:false, query:false, cauth:false, upLoc:false, ver：true
11:44:13 I\AccountHolder       	loadLoginAccount: uin:-1, name:, avatar:, phone:, defGid:, Priority:,Vip:0
11:44:13 I\AccountHolder       	clearAccountInfo done.
11:44:13 I\AccountHolder       	Logout done.
11:44:13 I\IntervalAlarm       	removeAlarm
11:44:13 I\InitialWatcher      	deInitDatas done!
11:44:13 I\setHost             	clear:ip地址成功
11:44:13 I\InitialWatcher      	initAfterUpdate done with vercode:7745, pre:0
11:44:13 I\AccountHolder       	loadLoginAccount: uin:-1, name:, avatar:, phone:, defGid:, Priority:,Vip:0
11:44:13 I\JNIMediaManager     	initial!
11:44:13 I\BaseApplication     	app onCreate done !!!
11:44:13 E\cyTest              	init headset
11:44:13 E\Analog_Intercom     	SerialPort ---> loadLibrary
11:44:13 E\Analog_Intercom     	SerialPort ---> SerialPort
11:44:13 I\chw                 	command = chmod 777 /dev/ttyMT0
device.getAbsolutePath = /dev/ttyMT0
11:44:13 E\Analog_Intercom     	Get serial port read/write   permission
11:44:13 E\Analog_Intercom     	native open returns null 
11:44:13 I\Analog_Intercom     	SerialPort不可用
11:44:13 I\IntercomService     	startService - created:false
11:44:13 I\CheckOverdue        	start
11:44:13 I\MPushService        	STATE - onCreate
11:44:13 E\MyLocationService   	onCreate 定位的时间：0,isUpLocation:false,有围栏：false
11:44:13 I\MyLocationService   	locationInit
11:44:13 E\MyLocationService   	locationChange 定位的时间：0,isUpLocation:false,isSendHeartBeat:true,有围栏：false
11:44:13 I\MyLocationService   	RELEASE
11:44:13 I\AccountHolder       	loadLoginAccount: uin:-1, name:, avatar:, phone:, defGid:, Priority:,Vip:0
11:44:13 I\MProxy              	deinitial done!!!
11:44:13 I\MPushService        	push service release -- done!!!
11:44:13 I\UpdateService       	无线网络连接成功 更新
11:44:13 I\x-mina              	============================ index 222 
11:44:13 E\cyTest              	拉取更新url：?app_name=com.veclink.vecsipsimple&appver=7745&osver=7.0&manufacturer=Xiaomi&model=MI 5&custom=null&producttype=0&language=zh&channel=
